time,cpu_consumption,memory_consumption,energy_consumption,try
1.71568E+12,0,220.4672,0,1
1.71568E+12,5.559126,744.431616,3.969112604,1
1.71568E+12,26.391754,852.066304,21.66049726,1
1.71568E+12,34.193836,861.986816,24.03133269,1
1.71568E+12,31.76182,829.640704,21.33080466,1
1.71568E+12,34.757393,835.796992,24.18052463,1
1.71568E+12,33.63059,837.042176,23.14059959,1
1.71568E+12,34.151814,839.74144,23.59876687,1
1.71568E+12,34.498234,841.310208,23.86073549,1
1.71568E+12,33.50832,842.862592,23.12778616,1
1.71568E+12,34.76787,844.402688,24.268365,1
1.71568E+12,33.459103,845.29152,23.0172364,1
1.71568E+12,34.80964,846.159872,24.32918942,1
1.71568E+12,33.610786,847.355904,23.03273721,1
1.71568E+12,34.79678,847.753216,24.16729288,1
1.71568E+12,33.4039,848.060416,22.96367316,1
1.71568E+12,35.009968,848.859136,24.31388804,1
1.71568E+12,33.184345,849.494016,22.61291391,1
1.71568E+12,34.622513,849.494016,23.86335645,1
1.71568E+12,33.705097,851.705856,23.11029728,1
1.71568E+12,34.64991,852.135936,23.99267112,1
1.71568E+12,33.488525,845.008896,22.75993075,1
1.71568E+12,34.71669,845.275136,23.9108356,1
1.71568E+12,33.13719,847.822848,22.56552925,1
1.71568E+12,34.814053,848.203776,23.89409512,1
1.71568E+12,33.393444,848.883712,22.79930681,1
1.71568E+12,34.58825,849.051648,23.9373658,1
1.71568E+12,33.279755,850.612224,22.6687994,1
1.71568E+12,34.86521,851.156992,24.07260404,1
1.71568E+12,33.333336,851.329024,22.80793441,1
1.71568E+12,34.950146,852.04992,24.25435193,1
1.71568E+12,33.7162,852.291584,23.17597495,1
1.71568E+12,34.05433,852.291584,23.47914802,1
1.71568E+12,34.193344,852.3776,23.64531533,1
1.71568E+12,33.450188,852.3776,22.95848848,1
1.71568E+12,34.95836,852.549632,24.32978262,1
1.71568E+12,33.544872,852.66432,23.0573484,1
1.71568E+12,35.31236,852.967424,24.62806123,1
1.71568E+12,33.433407,854.327296,23.0961973,1
1.71568E+12,34.877594,855.621632,24.20579975,1
1.71568E+12,33.4227,855.678976,22.96693902,1
1.71568E+12,35.161644,855.678976,24.37752101,1
1.71568E+12,33.337612,855.719936,22.77265383,1
1.71568E+12,34.85832,857.68192,24.12255968,1
1.71568E+12,33.96583,857.72288,23.170322,1
1.71568E+12,34.62201,857.993216,23.95366193,1
1.71568E+12,33.16346,858.112,22.61055902,1
1.71568E+12,34.699364,858.435584,24.07685513,1
1.71568E+12,33.297062,859.32032,22.75656864,1
1.71568E+12,34.7662,859.32032,24.0579069,1
1.71568E+12,33.458065,859.631616,23.13593713,1
1.71568E+12,34.24465,859.631616,23.96444979,1
